stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000008938	9606.ENSP00000255040	PGLYRP1	APCS	9606	0.582	0.0	0	0	0.0	0.0	0.0	0.582
9606.ENSP00000078445	9606.ENSP00000255030	CREB3L3	CRP	9606	0.425	0.0	0	0	0.09	0.0	0.0	0.393
9606.ENSP00000078445	9606.ENSP00000255040	CREB3L3	APCS	9606	0.573	0.0	0	0	0.126	0.0	0.0	0.532
9606.ENSP00000226355	9606.ENSP00000363079	AFM	MBL2	9606	0.437	0.0	0	0	0.37	0.0	0.0	0.144
9606.ENSP00000226355	9606.ENSP00000263408	AFM	C9	9606	0.491	0.0	0	0	0.318	0.0	0.0	0.285
9606.ENSP00000226355	9606.ENSP00000256785	AFM	CFHR5	9606	0.503	0.0	0	0	0.412	0.0	0.0	0.189
9606.ENSP00000226355	9606.ENSP00000421725	AFM	GC	9606	0.55	0.0	0	0	0.343	0.0	0.0	0.812
9606.ENSP00000226355	9606.ENSP00000348170	AFM	HP	9606	0.555	0.0	0	0	0.102	0.078	0.0	0.506
9606.ENSP00000226355	9606.ENSP00000255040	AFM	APCS	9606	0.588	0.0	0	0	0.373	0.0	0.0	0.37
9606.ENSP00000226355	9606.ENSP00000237014	AFM	TTR	9606	0.592	0.0	0	0	0.185	0.23	0.0	0.401
9606.ENSP00000226355	9606.ENSP00000236850	AFM	APOA1	9606	0.61	0.0	0	0	0.119	0.235	0.0	0.468
9606.ENSP00000236850	9606.ENSP00000356037	APOA1	C4BPA	9606	0.404	0.0	0	0	0.111	0.0	0.0	0.357
9606.ENSP00000236850	9606.ENSP00000363079	APOA1	MBL2	9606	0.472	0.0	0	0	0.268	0.135	0.0	0.233
9606.ENSP00000236850	9606.ENSP00000263408	APOA1	C9	9606	0.484	0.0	0	0	0.168	0.0	0.0	0.406
9606.ENSP00000236850	9606.ENSP00000415941	APOA1	C4B	9606	0.499	0.0	0	0	0.098	0.0	0.0	0.467
9606.ENSP00000236850	9606.ENSP00000255040	APOA1	APCS	9606	0.591	0.0	0	0	0.116	0.0	0.0	0.556
9606.ENSP00000236850	9606.ENSP00000346839	APOA1	FN1	9606	0.64	0.0	0	0	0.076	0.153	0.0	0.577
9606.ENSP00000236850	9606.ENSP00000363827	APOA1	HSPG2	9606	0.672	0.0	0	0	0.0	0.0	0.6	0.214
9606.ENSP00000236850	9606.ENSP00000421725	APOA1	GC	9606	0.707	0.0	0	0	0.183	0.155	0.0	0.61
9606.ENSP00000236850	9606.ENSP00000255030	APOA1	CRP	9606	0.813	0.0	0	0	0.088	0.0	0.0	0.804
9606.ENSP00000236850	9606.ENSP00000384906	APOA1	SAA1	9606	0.875	0.0	0	0	0.062	0.0	0.54	0.734
9606.ENSP00000236850	9606.ENSP00000237014	APOA1	TTR	9606	0.975	0.0	0	0	0.248	0.463	0.3	0.923
9606.ENSP00000236850	9606.ENSP00000252486	APOA1	APOE	9606	0.997	0.0	0	0	0.205	0.371	0.8	0.981
9606.ENSP00000236850	9606.ENSP00000348170	APOA1	HP	9606	0.997	0.0	0	0	0.182	0.413	0.72	0.986
9606.ENSP00000237014	9606.ENSP00000346839	TTR	FN1	9606	0.459	0.0	0	0	0.0	0.0	0.0	0.459
