stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000053243	9606.ENSP00000351497	TNFRSF17	FCGR2B	9606	0.432	0	0	0.0	0.071	0.0	0.0	0.414
9606.ENSP00000053243	9606.ENSP00000398698	TNFRSF17	TNF	9606	0.484	0	0	0.0	0.0	0.0	0.0	0.484
9606.ENSP00000053243	9606.ENSP00000221972	TNFRSF17	CD79A	9606	0.572	0	0	0.0	0.182	0.0	0.0	0.499
9606.ENSP00000053243	9606.ENSP00000303920	TNFRSF17	MZB1	9606	0.833	0	0	0.0	0.73	0.0	0.0	0.409
9606.ENSP00000053243	9606.ENSP00000254801	TNFRSF17	IGJ	9606	0.873	0	0	0.0	0.78	0.0	0.0	0.45
9606.ENSP00000221972	9606.ENSP00000295897	CD79A	ALB	9606	0.418	0	0	0.0	0.076	0.0	0.0	0.396
9606.ENSP00000221972	9606.ENSP00000348888	CD79A	PIGR	9606	0.452	0	0	0.0	0.055	0.213	0.0	0.323
9606.ENSP00000221972	9606.ENSP00000303920	CD79A	MZB1	9606	0.455	0	0	0.0	0.226	0.0	0.0	0.325
9606.ENSP00000221972	9606.ENSP00000358165	CD79A	FCGR1A	9606	0.465	0	0	0.0	0.062	0.0	0.0	0.454
9606.ENSP00000221972	9606.ENSP00000385675	CD79A	IL6	9606	0.493	0	0	0.0	0.0	0.0	0.0	0.493
9606.ENSP00000221972	9606.ENSP00000346839	CD79A	FN1	9606	0.515	0	0	0.0	0.0	0.413	0.0	0.208
9606.ENSP00000221972	9606.ENSP00000478725	CD79A	IGHV3-11	9606	0.54	0	0	0.0	0.0	0.0	0.54	0.0
9606.ENSP00000221972	9606.ENSP00000225275	CD79A	MPO	9606	0.664	0	0	0.0	0.069	0.0	0.0	0.654
9606.ENSP00000221972	9606.ENSP00000254801	CD79A	IGJ	9606	0.9	0	0	0.0	0.182	0.213	0.72	0.513
9606.ENSP00000221972	9606.ENSP00000329312	CD79A	IGLL1	9606	0.921	0	0	0.0	0.082	0.0	0.54	0.829
9606.ENSP00000221972	9606.ENSP00000431254	CD79A	IGLL5	9606	0.942	0	0	0.0	0.481	0.0	0.54	0.778
9606.ENSP00000221972	9606.ENSP00000478289	CD79A	IGHV4-38-2	9606	0.944	0	0	0.0	0.062	0.0	0.54	0.881
9606.ENSP00000221972	9606.ENSP00000351497	CD79A	FCGR2B	9606	0.951	0	0	0.0	0.211	0.0	0.9	0.431
9606.ENSP00000223095	9606.ENSP00000381448	SERPINE1	CST3	9606	0.455	0	0	0.0	0.0	0.0	0.0	0.455
9606.ENSP00000223095	9606.ENSP00000378408	SERPINE1	GPT	9606	0.48	0	0	0.0	0.062	0.0	0.0	0.469
9606.ENSP00000223095	9606.ENSP00000348170	SERPINE1	HP	9606	0.502	0	0	0.0	0.0	0.12	0.0	0.458
9606.ENSP00000223095	9606.ENSP00000225275	SERPINE1	MPO	9606	0.517	0	0	0.0	0.0	0.0	0.0	0.517
9606.ENSP00000223095	9606.ENSP00000412237	SERPINE1	IL10	9606	0.6	0	0	0.0	0.0	0.0	0.0	0.6
9606.ENSP00000223095	9606.ENSP00000236850	SERPINE1	APOA1	9606	0.611	0	0	0.0	0.062	0.141	0.0	0.556
9606.ENSP00000223095	9606.ENSP00000233242	SERPINE1	APOB	9606	0.619	0	0	0.0	0.072	0.0	0.0	0.606
9606.ENSP00000223095	9606.ENSP00000295897	SERPINE1	ALB	9606	0.665	0	0	0.0	0.076	0.104	0.0	0.627
9606.ENSP00000223095	9606.ENSP00000263686	SERPINE1	SELP	9606	0.681	0	0	0.0	0.062	0.057	0.0	0.669
9606.ENSP00000223095	9606.ENSP00000263341	SERPINE1	IL1B	9606	0.688	0	0	0.0	0.063	0.0	0.0	0.681
9606.ENSP00000223095	9606.ENSP00000331736	SERPINE1	SELE	9606	0.693	0	0	0.0	0.062	0.057	0.0	0.681
9606.ENSP00000223095	9606.ENSP00000387760	SERPINE1	ENSP00000387760	9606	0.722	0	0	0.0	0.0	0.057	0.0	0.717
9606.ENSP00000223095	9606.ENSP00000290866	SERPINE1	ACE	9606	0.728	0	0	0.0	0.0	0.057	0.0	0.724
9606.ENSP00000223095	9606.ENSP00000306512	SERPINE1	CXCL8	9606	0.732	0	0	0.0	0.137	0.0	0.0	0.703
9606.ENSP00000223095	9606.ENSP00000380432	SERPINE1	INS	9606	0.761	0	0	0.0	0.0	0.0	0.0	0.761
9606.ENSP00000223095	9606.ENSP00000398698	SERPINE1	TNF	9606	0.762	0	0	0.0	0.062	0.0	0.0	0.757
9606.ENSP00000223095	9606.ENSP00000225831	SERPINE1	CCL2	9606	0.762	0	0	0.0	0.122	0.0	0.0	0.74
9606.ENSP00000223095	9606.ENSP00000312652	SERPINE1	LEP	9606	0.768	0	0	0.0	0.0	0.0	0.0	0.768
9606.ENSP00000223095	9606.ENSP00000389814	SERPINE1	ADIPOQ	9606	0.806	0	0	0.0	0.0	0.0	0.0	0.806
9606.ENSP00000223095	9606.ENSP00000346839	SERPINE1	FN1	9606	0.815	0	0	0.0	0.295	0.0	0.0	0.749
9606.ENSP00000223095	9606.ENSP00000255030	SERPINE1	CRP	9606	0.821	0	0	0.0	0.049	0.0	0.0	0.82
9606.ENSP00000223095	9606.ENSP00000385675	SERPINE1	IL6	9606	0.827	0	0	0.0	0.16	0.0	0.0	0.803
9606.ENSP00000223095	9606.ENSP00000334145	SERPINE1	F3	9606	0.851	0	0	0.0	0.091	0.0	0.0	0.843
9606.ENSP00000223095	9606.ENSP00000308541	SERPINE1	F2	9606	0.901	0	0	0.0	0.072	0.506	0.0	0.802
9606.ENSP00000225275	9606.ENSP00000309124	MPO	OLR1	9606	0.415	0	0	0.0	0.0	0.056	0.0	0.406
9606.ENSP00000225275	9606.ENSP00000381448	MPO	CST3	9606	0.459	0	0	0.0	0.0	0.0	0.0	0.46
