stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000053243	9606.ENSP00000376544	TNFRSF17	CD79B	9606	0.442	0.0	0	0.0	0.122	0.0	0.0	0.391
9606.ENSP00000053243	9606.ENSP00000221972	TNFRSF17	CD79A	9606	0.572	0.0	0	0.0	0.182	0.0	0.0	0.499
9606.ENSP00000053243	9606.ENSP00000376786	TNFRSF17	POU2AF1	9606	0.807	0.0	0	0.0	0.683	0.0	0.0	0.416
9606.ENSP00000053243	9606.ENSP00000303920	TNFRSF17	MZB1	9606	0.833	0.0	0	0.0	0.73	0.0	0.0	0.409
9606.ENSP00000053243	9606.ENSP00000254801	TNFRSF17	IGJ	9606	0.873	0.0	0	0.0	0.78	0.0	0.0	0.45
9606.ENSP00000221972	9606.ENSP00000348888	CD79A	PIGR	9606	0.452	0.0	0	0.0	0.055	0.213	0.0	0.323
9606.ENSP00000221972	9606.ENSP00000303920	CD79A	MZB1	9606	0.455	0.0	0	0.0	0.226	0.0	0.0	0.325
9606.ENSP00000221972	9606.ENSP00000478725	CD79A	IGHV3-11	9606	0.54	0.0	0	0.0	0.0	0.0	0.54	0.0
9606.ENSP00000221972	9606.ENSP00000265132	CD79A	AMBP	9606	0.709	0.0	0	0.0	0.0	0.487	0.0	0.456
9606.ENSP00000221972	9606.ENSP00000376786	CD79A	POU2AF1	9606	0.809	0.0	0	0.0	0.466	0.0	0.0	0.657
9606.ENSP00000221972	9606.ENSP00000254801	CD79A	IGJ	9606	0.9	0.0	0	0.0	0.182	0.213	0.72	0.513
9606.ENSP00000221972	9606.ENSP00000329312	CD79A	IGLL1	9606	0.921	0.0	0	0.0	0.082	0.0	0.54	0.829
9606.ENSP00000221972	9606.ENSP00000431254	CD79A	IGLL5	9606	0.942	0.0	0	0.0	0.481	0.0	0.54	0.778
9606.ENSP00000221972	9606.ENSP00000478289	CD79A	IGHV4-38-2	9606	0.944	0.0	0	0.0	0.062	0.0	0.54	0.881
9606.ENSP00000221972	9606.ENSP00000376544	CD79A	CD79B	9606	0.994	0.0	0	0.0	0.748	0.687	0.9	0.989
9606.ENSP00000238256	9606.ENSP00000480832	FKBP15	NOP16	9606	0.65	0.0	0	0.0	0.65	0.0	0.0	0.0
9606.ENSP00000238256	9606.ENSP00000383949	FKBP15	NHP2L1	9606	0.7	0.0	0	0.0	0.653	0.173	0.0	0.0
9606.ENSP00000238256	9606.ENSP00000478982	FKBP15	RPP38	9606	0.702	0.0	0	0.0	0.655	0.173	0.0	0.0
9606.ENSP00000238256	9606.ENSP00000381032	FKBP15	NPM2	9606	0.715	0.0	0	0.0	0.65	0.056	0.0	0.207
9606.ENSP00000238256	9606.ENSP00000370376	FKBP15	DUT	9606	0.769	0.0	0	0.0	0.755	0.078	0.0	0.061
9606.ENSP00000238256	9606.ENSP00000254803	FKBP15	UTP3	9606	0.851	0.0	0	0.0	0.825	0.183	0.0	0.0
9606.ENSP00000238256	9606.ENSP00000359128	FKBP15	NPM3	9606	0.861	0.0	0	0.0	0.818	0.056	0.0	0.258
9606.ENSP00000238256	9606.ENSP00000274606	FKBP15	NHP2	9606	0.875	0.0	0	0.0	0.866	0.104	0.0	0.043
9606.ENSP00000238256	9606.ENSP00000338862	FKBP15	BRIX1	9606	0.886	0.0	0	0.0	0.855	0.251	0.0	0.0
9606.ENSP00000238256	9606.ENSP00000370589	FKBP15	NOP56	9606	0.889	0.0	0	0.0	0.869	0.183	0.0	0.051
9606.ENSP00000250495	9606.ENSP00000383949	NEDD8	NHP2L1	9606	0.456	0.0	0	0.0	0.289	0.237	0.0	0.077
9606.ENSP00000250495	9606.ENSP00000274606	NEDD8	NHP2	9606	0.462	0.0	0	0.0	0.309	0.237	0.0	0.062
9606.ENSP00000250495	9606.ENSP00000381032	NEDD8	NPM2	9606	0.652	0.0	0	0.0	0.652	0.0	0.0	0.0
9606.ENSP00000250495	9606.ENSP00000447942	NEDD8	PFDN5	9606	0.86	0.0	0	0.0	0.854	0.0	0.0	0.081
9606.ENSP00000250495	9606.ENSP00000400591	NEDD8	SNRPE	9606	0.897	0.0	0	0.0	0.895	0.066	0.0	0.0
9606.ENSP00000254801	9606.ENSP00000263512	IGJ	SLC10A3	9606	0.625	0.0	0	0.0	0.0	0.0	0.0	0.625
9606.ENSP00000254801	9606.ENSP00000379042	IGJ	ERO1L	9606	0.629	0.0	0	0.0	0.0	0.0	0.0	0.629
9606.ENSP00000254801	9606.ENSP00000415151	IGJ	CBFB	9606	0.641	0.0	0	0.0	0.0	0.0	0.0	0.641
9606.ENSP00000254801	9606.ENSP00000313809	IGJ	AMBN	9606	0.641	0.0	0	0.0	0.062	0.0	0.0	0.633
9606.ENSP00000254801	9606.ENSP00000371393	IGJ	PGM2	9606	0.643	0.0	0	0.0	0.0	0.0	0.0	0.643
9606.ENSP00000254801	9606.ENSP00000478725	IGJ	IGHV3-11	9606	0.646	0.0	0	0.0	0.088	0.0	0.6	0.11
9606.ENSP00000254801	9606.ENSP00000357069	IGJ	PIGM	9606	0.659	0.0	0	0.0	0.0	0.0	0.0	0.659
9606.ENSP00000254801	9606.ENSP00000379401	IGJ	ODAM	9606	0.66	0.0	0	0.0	0.0	0.0	0.0	0.66
9606.ENSP00000254801	9606.ENSP00000265132	IGJ	AMBP	9606	0.667	0.0	0	0.0	0.0	0.0	0.6	0.202
9606.ENSP00000254801	9606.ENSP00000341013	IGJ	AMTN	9606	0.667	0.0	0	0.0	0.0	0.0	0.0	0.667
9606.ENSP00000254801	9606.ENSP00000376786	IGJ	POU2AF1	9606	0.732	0.0	0	0.0	0.579	0.0	0.0	0.391
9606.ENSP00000254801	9606.ENSP00000376544	IGJ	CD79B	9606	0.786	0.0	0	0.0	0.181	0.0	0.54	0.479
9606.ENSP00000254801	9606.ENSP00000316491	IGJ	FCAMR	9606	0.79	0.0	0	0.0	0.0	0.083	0.6	0.475
9606.ENSP00000254801	9606.ENSP00000262455	IGJ	ERP44	9606	0.813	0.0	0	0.0	0.0	0.0	0.0	0.813
9606.ENSP00000254801	9606.ENSP00000478289	IGJ	IGHV4-38-2	9606	0.817	0.0	0	0.0	0.145	0.0	0.54	0.572
9606.ENSP00000254801	9606.ENSP00000431254	IGJ	IGLL5	9606	0.863	0.0	0	0.0	0.358	0.0	0.6	0.51
9606.ENSP00000254801	9606.ENSP00000303920	IGJ	MZB1	9606	0.872	0.0	0	0.0	0.68	0.0	0.0	0.616
9606.ENSP00000254801	9606.ENSP00000329312	IGJ	IGLL1	9606	0.886	0.0	0	0.0	0.531	0.0	0.54	0.517
9606.ENSP00000254801	9606.ENSP00000369820	IGJ	PIGA	9606	0.89	0.0	0	0.0	0.0	0.0	0.0	0.89
9606.ENSP00000254801	9606.ENSP00000254803	IGJ	UTP3	9606	0.92	0.0	0	0.0	0.0	0.0	0.0	0.92
9606.ENSP00000254801	9606.ENSP00000348888	IGJ	PIGR	9606	0.998	0.0	0	0.0	0.062	0.821	0.0	0.99
9606.ENSP00000254803	9606.ENSP00000332198	UTP3	NOP10	9606	0.498	0.0	0	0.0	0.498	0.0	0.0	0.0
9606.ENSP00000254803	9606.ENSP00000357069	UTP3	PIGM	9606	0.658	0.0	0	0.0	0.0	0.0	0.0	0.658
9606.ENSP00000254803	9606.ENSP00000371393	UTP3	PGM2	9606	0.727	0.0	0	0.0	0.062	0.0	0.0	0.721
9606.ENSP00000254803	9606.ENSP00000415151	UTP3	CBFB	9606	0.763	0.0	0	0.0	0.125	0.113	0.0	0.72
