stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000053243	9606.ENSP00000376544	TNFRSF17	CD79B	9606	0.442	0.0	0	0	0.122	0.0	0.0	0.391
9606.ENSP00000053243	9606.ENSP00000221972	TNFRSF17	CD79A	9606	0.572	0.0	0	0	0.182	0.0	0.0	0.499
9606.ENSP00000053243	9606.ENSP00000376786	TNFRSF17	POU2AF1	9606	0.807	0.0	0	0	0.683	0.0	0.0	0.416
9606.ENSP00000053243	9606.ENSP00000303920	TNFRSF17	MZB1	9606	0.833	0.0	0	0	0.73	0.0	0.0	0.409
9606.ENSP00000053243	9606.ENSP00000254801	TNFRSF17	IGJ	9606	0.873	0.0	0	0	0.78	0.0	0.0	0.45
9606.ENSP00000215794	9606.ENSP00000326247	USP18	SAMD9L	9606	0.603	0.0	0	0	0.308	0.0	0.0	0.45
9606.ENSP00000215794	9606.ENSP00000379412	USP18	ZNFX1	9606	0.656	0.0	0	0	0.547	0.146	0.0	0.182
9606.ENSP00000215794	9606.ENSP00000418194	USP18	PARP14	9606	0.661	0.0	0	0	0.479	0.0	0.0	0.375
9606.ENSP00000215794	9606.ENSP00000354822	USP18	XAF1	9606	0.676	0.0	0	0	0.505	0.0	0.0	0.372
9606.ENSP00000215794	9606.ENSP00000263549	USP18	PARP12	9606	0.682	0.0	0	0	0.608	0.0	0.0	0.223
9606.ENSP00000215794	9606.ENSP00000377344	USP18	DDX60	9606	0.728	0.0	0	0	0.49	0.074	0.0	0.47
9606.ENSP00000215794	9606.ENSP00000395590	USP18	IFI35	9606	0.759	0.0	0	0	0.601	0.0	0.0	0.421
9606.ENSP00000215794	9606.ENSP00000353512	USP18	PARP9	9606	0.781	0.0	0	0	0.672	0.0	0.0	0.36
9606.ENSP00000215794	9606.ENSP00000380073	USP18	IRF9	9606	0.812	0.0	0	0	0.515	0.0	0.0	0.629
9606.ENSP00000215794	9606.ENSP00000342513	USP18	IFI6	9606	0.813	0.0	0	0	0.588	0.0	0.0	0.565
9606.ENSP00000215794	9606.ENSP00000259030	USP18	RTP4	9606	0.852	0.0	0	0	0.656	0.0	0.0	0.587
9606.ENSP00000215794	9606.ENSP00000388001	USP18	OAS1	9606	0.873	0.0	0	0	0.69	0.0	0.0	0.607
9606.ENSP00000215794	9606.ENSP00000228928	USP18	OAS3	9606	0.875	0.0	0	0	0.746	0.0	0.0	0.529
9606.ENSP00000215794	9606.ENSP00000264346	USP18	HERC6	9606	0.878	0.0	0	0	0.642	0.159	0.0	0.628
