stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000211998	9606.ENSP00000336829	VCL	FGG	9606	0.507	0.0	0.0	0.0	0.0	0.0	0.5	0.055
9606.ENSP00000211998	9606.ENSP00000306361	VCL	FGA	9606	0.518	0.0	0.0	0.0	0.0	0.0	0.5	0.076
9606.ENSP00000211998	9606.ENSP00000306099	VCL	FGB	9606	0.52	0.0	0.0	0.0	0.0	0.0	0.5	0.08
9606.ENSP00000211998	9606.ENSP00000411397	VCL	MARK3	9606	0.557	0.0	0.0	0.0	0.052	0.0	0.5	0.14
9606.ENSP00000211998	9606.ENSP00000363371	VCL	CNKSR1	9606	0.56	0.0	0.0	0.0	0.062	0.0	0.5	0.138
9606.ENSP00000211998	9606.ENSP00000319713	VCL	AGTRAP	9606	0.6	0.0	0.0	0.0	0.0	0.0	0.6	0.0
9606.ENSP00000211998	9606.ENSP00000347581	VCL	AGK	9606	0.6	0.0	0.0	0.0	0.0	0.0	0.6	0.0
9606.ENSP00000211998	9606.ENSP00000242351	VCL	ZC3HAV1	9606	0.6	0.0	0.0	0.0	0.0	0.0	0.6	0.0
9606.ENSP00000211998	9606.ENSP00000328998	VCL	TRAK1	9606	0.6	0.0	0.0	0.0	0.0	0.0	0.6	0.043
9606.ENSP00000211998	9606.ENSP00000265174	VCL	PAPSS1	9606	0.6	0.0	0.0	0.0	0.0	0.0	0.6	0.0
9606.ENSP00000211998	9606.ENSP00000416040	VCL	KIAA1549	9606	0.6	0.0	0.0	0.0	0.0	0.0	0.6	0.0
9606.ENSP00000211998	9606.ENSP00000346762	VCL	SND1	9606	0.6	0.0	0.0	0.0	0.0	0.0	0.6	0.0
9606.ENSP00000211998	9606.ENSP00000341597	VCL	FAM114A2	9606	0.6	0.0	0.0	0.0	0.0	0.0	0.6	0.0
9606.ENSP00000211998	9606.ENSP00000234488	VCL	CLCN6	9606	0.603	0.0	0.0	0.0	0.049	0.0	0.6	0.0
9606.ENSP00000211998	9606.ENSP00000348573	VCL	AKAP9	9606	0.603	0.0	0.0	0.0	0.0	0.0	0.6	0.048
9606.ENSP00000211998	9606.ENSP00000290277	VCL	ARAF	9606	0.604	0.0	0.0	0.0	0.0	0.0	0.6	0.051
9606.ENSP00000211998	9606.ENSP00000255194	VCL	AP3B1	9606	0.608	0.0	0.0	0.0	0.062	0.0	0.6	0.0
9606.ENSP00000211998	9606.ENSP00000230859	VCL	PAPD7	9606	0.608	0.0	0.0	0.0	0.062	0.0	0.6	0.0
9606.ENSP00000211998	9606.ENSP00000316109	VCL	AGGF1	9606	0.608	0.0	0.0	0.0	0.062	0.0	0.6	0.0
9606.ENSP00000211998	9606.ENSP00000262948	VCL	MAP2K2	9606	0.621	0.0	0.0	0.0	0.062	0.0	0.6	0.072
9606.ENSP00000211998	9606.ENSP00000262407	VCL	ITGA2B	9606	0.625	0.0	0.0	0.0	0.062	0.0	0.5	0.265
9606.ENSP00000211998	9606.ENSP00000355094	VCL	QKI	9606	0.628	0.0	0.0	0.0	0.065	0.0	0.6	0.086
9606.ENSP00000211998	9606.ENSP00000288602	VCL	BRAF	9606	0.628	0.0	0.0	0.0	0.0	0.0	0.6	0.109
9606.ENSP00000211998	9606.ENSP00000340507	VCL	TRIM24	9606	0.636	0.0	0.0	0.0	0.062	0.0	0.6	0.108
9606.ENSP00000211998	9606.ENSP00000346437	VCL	ATG7	9606	0.653	0.0	0.0	0.0	0.0	0.0	0.6	0.169
9606.ENSP00000211998	9606.ENSP00000261405	VCL	VWF	9606	0.666	0.0	0.0	0.0	0.052	0.0	0.5	0.353
9606.ENSP00000211998	9606.ENSP00000250559	VCL	RAP1B	9606	0.668	0.0	0.0	0.0	0.062	0.064	0.5	0.332
9606.ENSP00000211998	9606.ENSP00000251849	VCL	RAF1	9606	0.673	0.0	0.0	0.0	0.0	0.0	0.6	0.218
9606.ENSP00000211998	9606.ENSP00000350170	VCL	FXR1	9606	0.711	0.0	0.0	0.0	0.0	0.058	0.6	0.296
9606.ENSP00000211998	9606.ENSP00000358723	VCL	RAP1A	9606	0.714	0.0	0.0	0.0	0.062	0.064	0.5	0.426
9606.ENSP00000211998	9606.ENSP00000268182	VCL	IQGAP1	9606	0.726	0.0	0.0	0.0	0.13	0.0	0.5	0.421
9606.ENSP00000211998	9606.ENSP00000302486	VCL	MAP2K1	9606	0.738	0.0	0.0	0.0	0.062	0.0	0.6	0.359
9606.ENSP00000211998	9606.ENSP00000357283	VCL	LMNA	9606	0.815	0.0	0.0	0.0	0.087	0.09	0.6	0.511
9606.ENSP00000211998	9606.ENSP00000215832	VCL	MAPK1	9606	0.846	0.0	0.0	0.0	0.0	0.14	0.6	0.589
9606.ENSP00000211998	9606.ENSP00000263025	VCL	MAPK3	9606	0.849	0.0	0.0	0.0	0.0	0.14	0.6	0.596
9606.ENSP00000211998	9606.ENSP00000365411	VCL	APBB1IP	9606	0.891	0.0	0.0	0.0	0.0	0.0	0.5	0.791
9606.ENSP00000211998	9606.ENSP00000452786	VCL	ITGB3	9606	0.896	0.0	0.0	0.0	0.072	0.151	0.5	0.768
9606.ENSP00000211998	9606.ENSP00000220003	VCL	CSK	9606	0.946	0.0	0.0	0.0	0.062	0.0	0.9	0.48
9606.ENSP00000211998	9606.ENSP00000346839	VCL	FN1	9606	0.984	0.0	0.0	0.0	0.086	0.074	0.5	0.966
9606.ENSP00000211998	9606.ENSP00000362680	VCL	SRC	9606	0.993	0.0	0.0	0.0	0.062	0.213	0.9	0.916
9606.ENSP00000211998	9606.ENSP00000316029	VCL	TLN1	9606	0.999	0.0	0.0	0.0	0.144	0.978	0.9	0.983
9606.ENSP00000215794	9606.ENSP00000323889	USP18	TRIM25	9606	0.582	0.0	0.0	0.0	0.098	0.056	0.0	0.549
9606.ENSP00000215794	9606.ENSP00000326247	USP18	SAMD9L	9606	0.603	0.0	0.0	0.0	0.308	0.0	0.0	0.45
9606.ENSP00000215794	9606.ENSP00000379412	USP18	ZNFX1	9606	0.656	0.0	0.0	0.0	0.547	0.146	0.0	0.182
9606.ENSP00000215794	9606.ENSP00000418194	USP18	PARP14	9606	0.661	0.0	0.0	0.0	0.479	0.0	0.0	0.375
9606.ENSP00000215794	9606.ENSP00000354822	USP18	XAF1	9606	0.676	0.0	0.0	0.0	0.505	0.0	0.0	0.372
9606.ENSP00000215794	9606.ENSP00000263549	USP18	PARP12	9606	0.682	0.0	0.0	0.0	0.608	0.0	0.0	0.223
9606.ENSP00000215794	9606.ENSP00000377344	USP18	DDX60	9606	0.728	0.0	0.0	0.0	0.49	0.074	0.0	0.47
9606.ENSP00000215794	9606.ENSP00000395590	USP18	IFI35	9606	0.759	0.0	0.0	0.0	0.601	0.0	0.0	0.421
9606.ENSP00000215794	9606.ENSP00000353512	USP18	PARP9	9606	0.781	0.0	0.0	0.0	0.672	0.0	0.0	0.36
9606.ENSP00000215794	9606.ENSP00000380073	USP18	IRF9	9606	0.812	0.0	0.0	0.0	0.515	0.0	0.0	0.629
9606.ENSP00000215794	9606.ENSP00000342513	USP18	IFI6	9606	0.813	0.0	0.0	0.0	0.588	0.0	0.0	0.565
9606.ENSP00000215794	9606.ENSP00000259030	USP18	RTP4	9606	0.852	0.0	0.0	0.0	0.656	0.0	0.0	0.587
9606.ENSP00000215794	9606.ENSP00000388001	USP18	OAS1	9606	0.873	0.0	0.0	0.0	0.69	0.0	0.0	0.607
9606.ENSP00000215794	9606.ENSP00000228928	USP18	OAS3	9606	0.875	0.0	0.0	0.0	0.746	0.0	0.0	0.529
