stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000225275	9606.ENSP00000271450	MPO	FCGR2A	9606	0.483	0.0	0	0.0	0.087	0.0	0.0	0.457
9606.ENSP00000225275	9606.ENSP00000308938	MPO	PLG	9606	0.523	0.0	0	0.0	0.0	0.056	0.0	0.516
9606.ENSP00000225275	9606.ENSP00000478570	MPO	VEGFA	9606	0.571	0.0	0	0.0	0.062	0.0	0.0	0.562
9606.ENSP00000225275	9606.ENSP00000295927	MPO	PTX3	9606	0.637	0.0	0	0.0	0.0	0.0	0.0	0.637
9606.ENSP00000225275	9606.ENSP00000245907	MPO	C3	9606	0.653	0.0	0	0.0	0.0	0.297	0.0	0.527
9606.ENSP00000225275	9606.ENSP00000263686	MPO	SELP	9606	0.698	0.0	0	0.0	0.096	0.056	0.0	0.674
9606.ENSP00000225275	9606.ENSP00000385675	MPO	IL6	9606	0.843	0.0	0	0.0	0.062	0.0	0.0	0.839
9606.ENSP00000238256	9606.ENSP00000480832	FKBP15	NOP16	9606	0.65	0.0	0	0.0	0.65	0.0	0.0	0.0
9606.ENSP00000238256	9606.ENSP00000383949	FKBP15	NHP2L1	9606	0.7	0.0	0	0.0	0.653	0.173	0.0	0.0
9606.ENSP00000238256	9606.ENSP00000478982	FKBP15	RPP38	9606	0.702	0.0	0	0.0	0.655	0.173	0.0	0.0
9606.ENSP00000238256	9606.ENSP00000381032	FKBP15	NPM2	9606	0.715	0.0	0	0.0	0.65	0.056	0.0	0.207
9606.ENSP00000238256	9606.ENSP00000370376	FKBP15	DUT	9606	0.769	0.0	0	0.0	0.755	0.078	0.0	0.061
9606.ENSP00000238256	9606.ENSP00000359128	FKBP15	NPM3	9606	0.861	0.0	0	0.0	0.818	0.056	0.0	0.258
9606.ENSP00000238256	9606.ENSP00000274606	FKBP15	NHP2	9606	0.875	0.0	0	0.0	0.866	0.104	0.0	0.043
9606.ENSP00000238256	9606.ENSP00000338862	FKBP15	BRIX1	9606	0.886	0.0	0	0.0	0.855	0.251	0.0	0.0
9606.ENSP00000238256	9606.ENSP00000370589	FKBP15	NOP56	9606	0.889	0.0	0	0.0	0.869	0.183	0.0	0.051
9606.ENSP00000243347	9606.ENSP00000478570	TNFAIP6	VEGFA	9606	0.457	0.0	0	0.0	0.0	0.0	0.0	0.458
9606.ENSP00000243347	9606.ENSP00000264498	TNFAIP6	FGF2	9606	0.605	0.0	0	0.0	0.0	0.305	0.0	0.456
9606.ENSP00000243347	9606.ENSP00000385675	TNFAIP6	IL6	9606	0.639	0.0	0	0.0	0.22	0.0	0.0	0.556
9606.ENSP00000243347	9606.ENSP00000306991	TNFAIP6	HAS2	9606	0.743	0.0	0	0.0	0.062	0.0	0.0	0.737
9606.ENSP00000243347	9606.ENSP00000266041	TNFAIP6	ITIH4	9606	0.983	0.0	0	0.0	0.0	0.0	0.0	0.983
9606.ENSP00000243347	9606.ENSP00000295927	TNFAIP6	PTX3	9606	0.988	0.0	0	0.0	0.147	0.417	0.0	0.977
9606.ENSP00000245907	9606.ENSP00000363773	C3	C1QA	9606	0.464	0.0	0	0.0	0.121	0.0	0.0	0.415
9606.ENSP00000245907	9606.ENSP00000271450	C3	FCGR2A	9606	0.47	0.0	0	0.0	0.064	0.0	0.0	0.458
9606.ENSP00000245907	9606.ENSP00000478570	C3	VEGFA	9606	0.477	0.0	0	0.0	0.073	0.0	0.0	0.459
9606.ENSP00000245907	9606.ENSP00000363770	C3	C1QC	9606	0.499	0.0	0	0.0	0.143	0.0	0.0	0.439
9606.ENSP00000245907	9606.ENSP00000360871	C3	FCN1	9606	0.568	0.0	0	0.0	0.063	0.0	0.0	0.558
9606.ENSP00000245907	9606.ENSP00000385675	C3	IL6	9606	0.628	0.0	0	0.0	0.071	0.0	0.0	0.616
9606.ENSP00000245907	9606.ENSP00000270879	C3	FCN3	9606	0.672	0.0	0	0.0	0.074	0.0	0.0	0.661
9606.ENSP00000245907	9606.ENSP00000291744	C3	FCN2	9606	0.695	0.0	0	0.0	0.063	0.0	0.0	0.688
9606.ENSP00000245907	9606.ENSP00000266041	C3	ITIH4	9606	0.755	0.044	0	0.0	0.11	0.105	0.0	0.717
9606.ENSP00000245907	9606.ENSP00000295927	C3	PTX3	9606	0.799	0.0	0	0.0	0.0	0.486	0.0	0.626
9606.ENSP00000245907	9606.ENSP00000363079	C3	MBL2	9606	0.817	0.0	0	0.0	0.109	0.0	0.0	0.803
9606.ENSP00000245907	9606.ENSP00000385035	C3	C1S	9606	0.845	0.0	0	0.0	0.163	0.134	0.0	0.803
9606.ENSP00000245907	9606.ENSP00000308938	C3	PLG	9606	0.95	0.0	0	0.0	0.147	0.156	0.8	0.696
9606.ENSP00000245907	9606.ENSP00000263686	C3	SELP	9606	0.989	0.0	0	0.0	0.062	0.0	0.0	0.988
9606.ENSP00000245907	9606.ENSP00000314299	C3	CFHR1	9606	0.999	0.0	0	0.0	0.0	0.973	0.6	0.955
9606.ENSP00000245907	9606.ENSP00000356399	C3	CFH	9606	0.999	0.0	0	0.0	0.118	0.982	0.8	0.989
9606.ENSP00000250495	9606.ENSP00000383949	NEDD8	NHP2L1	9606	0.456	0.0	0	0.0	0.289	0.237	0.0	0.077
9606.ENSP00000250495	9606.ENSP00000274606	NEDD8	NHP2	9606	0.462	0.0	0	0.0	0.309	0.237	0.0	0.062
9606.ENSP00000250495	9606.ENSP00000381032	NEDD8	NPM2	9606	0.652	0.0	0	0.0	0.652	0.0	0.0	0.0
9606.ENSP00000250495	9606.ENSP00000447942	NEDD8	PFDN5	9606	0.86	0.0	0	0.0	0.854	0.0	0.0	0.081
9606.ENSP00000250495	9606.ENSP00000400591	NEDD8	SNRPE	9606	0.897	0.0	0	0.0	0.895	0.066	0.0	0.0
9606.ENSP00000263686	9606.ENSP00000271450	SELP	FCGR2A	9606	0.533	0.0	0	0.0	0.098	0.0	0.0	0.504
9606.ENSP00000263686	9606.ENSP00000264498	SELP	FGF2	9606	0.577	0.0	0	0.0	0.062	0.0	0.0	0.567
9606.ENSP00000263686	9606.ENSP00000360871	SELP	FCN1	9606	0.589	0.0	0	0.0	0.117	0.158	0.0	0.491
9606.ENSP00000263686	9606.ENSP00000478570	SELP	VEGFA	9606	0.63	0.0	0	0.0	0.0	0.0	0.0	0.63
9606.ENSP00000263686	9606.ENSP00000308938	SELP	PLG	9606	0.682	0.0	0	0.0	0.062	0.0	0.0	0.675
9606.ENSP00000263686	9606.ENSP00000385675	SELP	IL6	9606	0.716	0.0	0	0.0	0.063	0.0	0.0	0.71
9606.ENSP00000263686	9606.ENSP00000295927	SELP	PTX3	9606	0.988	0.0	0	0.0	0.062	0.0	0.0	0.988
9606.ENSP00000264498	9606.ENSP00000306991	FGF2	HAS2	9606	0.407	0.0	0	0.0	0.067	0.0	0.0	0.391
9606.ENSP00000264498	9606.ENSP00000266041	FGF2	ITIH4	9606	0.514	0.0	0	0.0	0.0	0.0	0.0	0.514
9606.ENSP00000264498	9606.ENSP00000478303	FGF2	POLR2E	9606	0.65	0.0	0	0.0	0.0	0.0	0.65	0.0
9606.ENSP00000264498	9606.ENSP00000308938	FGF2	PLG	9606	0.665	0.0	0	0.0	0.0	0.0	0.0	0.665
9606.ENSP00000264498	9606.ENSP00000385675	FGF2	IL6	9606	0.975	0.0	0	0.0	0.061	0.0	0.9	0.764
9606.ENSP00000264498	9606.ENSP00000478570	FGF2	VEGFA	9606	0.991	0.0	0	0.0	0.0	0.0	0.9	0.923
9606.ENSP00000264498	9606.ENSP00000295927	FGF2	PTX3	9606	0.997	0.0	0	0.0	0.061	0.879	0.0	0.981
9606.ENSP00000266041	9606.ENSP00000356399	ITIH4	CFH	9606	0.448	0.0	0	0.0	0.108	0.0	0.0	0.407
9606.ENSP00000266041	9606.ENSP00000308938	ITIH4	PLG	9606	0.486	0.0	0	0.0	0.206	0.056	0.0	0.369
9606.ENSP00000266041	9606.ENSP00000385675	ITIH4	IL6	9606	0.559	0.0	0	0.0	0.0	0.0	0.0	0.559
9606.ENSP00000266041	9606.ENSP00000271450	ITIH4	FCGR2A	9606	0.561	0.0	0	0.0	0.0	0.0	0.0	0.561
9606.ENSP00000266041	9606.ENSP00000363079	ITIH4	MBL2	9606	0.636	0.0	0	0.0	0.132	0.0	0.0	0.598
9606.ENSP00000266041	9606.ENSP00000295927	ITIH4	PTX3	9606	0.76	0.0	0	0.0	0.0	0.0	0.0	0.76
9606.ENSP00000266604	9606.ENSP00000338862	LLPH	BRIX1	9606	0.482	0.0	0	0.0	0.482	0.0	0.0	0.0
9606.ENSP00000266604	9606.ENSP00000381032	LLPH	NPM2	9606	0.65	0.0	0	0.0	0.65	0.0	0.0	0.0
9606.ENSP00000266604	9606.ENSP00000419665	LLPH	SSBP1	9606	0.658	0.0	0	0.0	0.658	0.0	0.0	0.0
9606.ENSP00000266604	9606.ENSP00000274606	LLPH	NHP2	9606	0.823	0.0	0	0.0	0.823	0.0	0.0	0.0
9606.ENSP00000266604	9606.ENSP00000480832	LLPH	NOP16	9606	0.826	0.0	0	0.0	0.826	0.0	0.0	0.0
9606.ENSP00000270879	9606.ENSP00000356399	FCN3	CFH	9606	0.406	0.0	0	0.0	0.091	0.0	0.0	0.374
9606.ENSP00000270879	9606.ENSP00000360871	FCN3	FCN1	9606	0.531	0.0	0	0.0	0.0	0.0	0.5	0.887
9606.ENSP00000270879	9606.ENSP00000291744	FCN3	FCN2	9606	0.558	0.0	0	0.0	0.099	0.0	0.5	0.9
9606.ENSP00000270879	9606.ENSP00000295927	FCN3	PTX3	9606	0.61	0.0	0	0.0	0.0	0.297	0.0	0.469
9606.ENSP00000270879	9606.ENSP00000363773	FCN3	C1QA	9606	0.611	0.0	0	0.0	0.095	0.0	0.5	0.209
9606.ENSP00000270879	9606.ENSP00000363770	FCN3	C1QC	9606	0.657	0.0	0	0.0	0.103	0.0	0.5	0.298
9606.ENSP00000270879	9606.ENSP00000385035	FCN3	C1S	9606	0.828	0.0	0	0.0	0.076	0.056	0.5	0.653
9606.ENSP00000270879	9606.ENSP00000363079	FCN3	MBL2	9606	0.94	0.0	0	0.0	0.0	0.158	0.5	0.87
9606.ENSP00000271450	9606.ENSP00000363079	FCGR2A	MBL2	9606	0.404	0.0	0	0.0	0.0	0.0	0.0	0.404
9606.ENSP00000271450	9606.ENSP00000363773	FCGR2A	C1QA	9606	0.476	0.0	0	0.0	0.282	0.0	0.0	0.301
9606.ENSP00000271450	9606.ENSP00000363770	FCGR2A	C1QC	9606	0.496	0.0	0	0.0	0.363	0.0	0.0	0.242
9606.ENSP00000271450	9606.ENSP00000478570	FCGR2A	VEGFA	9606	0.514	0.0	0	0.0	0.0	0.0	0.0	0.514
9606.ENSP00000271450	9606.ENSP00000385675	FCGR2A	IL6	9606	0.651	0.0	0	0.0	0.052	0.0	0.0	0.647
9606.ENSP00000271450	9606.ENSP00000295927	FCGR2A	PTX3	9606	0.694	0.0	0	0.0	0.0	0.0	0.0	0.694
9606.ENSP00000274606	9606.ENSP00000359128	NHP2	NPM3	9606	0.421	0.0	0	0.0	0.421	0.0	0.0	0.0
9606.ENSP00000274606	9606.ENSP00000447942	NHP2	PFDN5	9606	0.671	0.0	0	0.0	0.668	0.0	0.0	0.051
9606.ENSP00000274606	9606.ENSP00000370376	NHP2	DUT	9606	0.676	0.075	0	0.0	0.664	0.0	0.0	0.0
9606.ENSP00000274606	9606.ENSP00000300413	NHP2	SNRPD1	9606	0.776	0.0	0	0.0	0.69	0.153	0.0	0.216
9606.ENSP00000274606	9606.ENSP00000381032	NHP2	NPM2	9606	0.796	0.0	0	0.0	0.796	0.0	0.0	0.0
9606.ENSP00000274606	9606.ENSP00000419665	NHP2	SSBP1	9606	0.828	0.0	0	0.0	0.828	0.0	0.0	0.0
9606.ENSP00000274606	9606.ENSP00000478303	NHP2	POLR2E	9606	0.876	0.0	0	0.0	0.871	0.0	0.0	0.078
9606.ENSP00000274606	9606.ENSP00000338862	NHP2	BRIX1	9606	0.908	0.0	0	0.0	0.885	0.232	0.0	0.0
9606.ENSP00000274606	9606.ENSP00000480832	NHP2	NOP16	9606	0.926	0.0	0	0.0	0.924	0.0	0.0	0.062
9606.ENSP00000274606	9606.ENSP00000400591	NHP2	SNRPE	9606	0.927	0.0	0	0.0	0.714	0.153	0.72	0.056
9606.ENSP00000274606	9606.ENSP00000478982	NHP2	RPP38	9606	0.969	0.0	0	0.0	0.811	0.717	0.0	0.475
9606.ENSP00000274606	9606.ENSP00000383949	NHP2	NHP2L1	9606	0.997	0.0	0	0.311	0.948	0.788	0.72	0.905
9606.ENSP00000274606	9606.ENSP00000332198	NHP2	NOP10	9606	0.999	0.0	0	0.0	0.901	0.99	0.9	0.995
9606.ENSP00000274606	9606.ENSP00000370589	NHP2	NOP56	9606	0.999	0.0	0	0.0	0.926	0.788	0.72	0.891
9606.ENSP00000278853	9606.ENSP00000375063	ZP1	NLRP5	9606	0.442	0.0	0	0.0	0.062	0.0	0.0	0.43
9606.ENSP00000278853	9606.ENSP00000329803	ZP1	ZAR1	9606	0.545	0.0	0	0.0	0.062	0.0	0.0	0.534
9606.ENSP00000278853	9606.ENSP00000333097	ZP1	FIGLA	9606	0.573	0.0	0	0.0	0.062	0.0	0.0	0.564
9606.ENSP00000278853	9606.ENSP00000381032	ZP1	NPM2	9606	0.589	0.0	0	0.0	0.065	0.0	0.0	0.579
9606.ENSP00000278853	9606.ENSP00000319799	ZP1	H1FOO	9606	0.596	0.0	0	0.0	0.092	0.0	0.0	0.573
9606.ENSP00000291744	9606.ENSP00000363770	FCN2	C1QC	9606	0.604	0.0	0	0.0	0.14	0.0	0.5	0.325
9606.ENSP00000291744	9606.ENSP00000363773	FCN2	C1QA	9606	0.637	0.0	0	0.0	0.14	0.0	0.5	0.223
9606.ENSP00000291744	9606.ENSP00000360871	FCN2	FCN1	9606	0.72	0.0	0	0.0	0.088	0.424	0.5	0.944
9606.ENSP00000291744	9606.ENSP00000385035	FCN2	C1S	9606	0.848	0.0	0	0.0	0.062	0.056	0.5	0.697
9606.ENSP00000291744	9606.ENSP00000363079	FCN2	MBL2	9606	0.987	0.0	0	0.0	0.114	0.359	0.5	0.959
9606.ENSP00000291744	9606.ENSP00000295927	FCN2	PTX3	9606	0.993	0.0	0	0.0	0.062	0.68	0.0	0.98
9606.ENSP00000295927	9606.ENSP00000403104	PTX3	SIGIRR	9606	0.587	0.0	0	0.0	0.0	0.0	0.0	0.587
9606.ENSP00000295927	9606.ENSP00000478570	PTX3	VEGFA	9606	0.591	0.0	0	0.0	0.06	0.0	0.0	0.583
9606.ENSP00000295927	9606.ENSP00000385035	PTX3	C1S	9606	0.606	0.0	0	0.0	0.0	0.0	0.0	0.606
