stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000218388	9606.ENSP00000334145	TIMP1	F3	9606	0.407	0.0	0	0.0	0.062	0.0	0.0	0.394
9606.ENSP00000218388	9606.ENSP00000260010	TIMP1	TLR2	9606	0.418	0.0	0	0.0	0.063	0.057	0.0	0.395
9606.ENSP00000218388	9606.ENSP00000263686	TIMP1	SELP	9606	0.429	0.0	0	0.0	0.062	0.0	0.0	0.417
9606.ENSP00000218388	9606.ENSP00000247153	TIMP1	CFP	9606	0.432	0.0	0	0.0	0.0	0.0	0.0	0.432
9606.ENSP00000218388	9606.ENSP00000252809	TIMP1	GDF15	9606	0.441	0.0	0	0.0	0.076	0.069	0.0	0.403
9606.ENSP00000218388	9606.ENSP00000267843	TIMP1	FGF7	9606	0.47	0.0	0	0.0	0.062	0.0	0.0	0.459
9606.ENSP00000218388	9606.ENSP00000255409	TIMP1	CHI3L1	9606	0.481	0.0	0	0.0	0.062	0.0	0.0	0.47
9606.ENSP00000218388	9606.ENSP00000363089	TIMP1	TLR4	9606	0.489	0.0	0	0.0	0.062	0.057	0.0	0.469
9606.ENSP00000218388	9606.ENSP00000295927	TIMP1	PTX3	9606	0.506	0.0	0	0.0	0.128	0.0	0.0	0.457
9606.ENSP00000218388	9606.ENSP00000225275	TIMP1	MPO	9606	0.528	0.0	0	0.0	0.062	0.0	0.0	0.518
9606.ENSP00000218388	9606.ENSP00000370473	TIMP1	IGFBP3	9606	0.54	0.0	0	0.0	0.117	0.0	0.0	0.501
9606.ENSP00000218388	9606.ENSP00000275525	TIMP1	IGFBP1	9606	0.54	0.0	0	0.0	0.061	0.179	0.0	0.452
9606.ENSP00000218388	9606.ENSP00000368683	TIMP1	EDN1	9606	0.561	0.0	0	0.0	0.0	0.0	0.0	0.561
9606.ENSP00000218388	9606.ENSP00000294728	TIMP1	VCAM1	9606	0.574	0.0	0	0.0	0.062	0.0	0.0	0.565
