stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000170447	9606.ENSP00000379773	MKRN2	ZC3H7A	9606	0.5	0.0	0	0	0.056	0.157	0.0	0.422
9606.ENSP00000170447	9606.ENSP00000263549	MKRN2	PARP12	9606	0.576	0.0	0	0	0.0	0.468	0.0	0.235
9606.ENSP00000215794	9606.ENSP00000369299	USP18	TRIM22	9606	0.471	0.0	0	0	0.17	0.056	0.0	0.379
9606.ENSP00000215794	9606.ENSP00000417401	USP18	HELZ2	9606	0.48	0.0	0	0	0.265	0.135	0.0	0.248
9606.ENSP00000215794	9606.ENSP00000296161	USP18	DTX3L	9606	0.556	0.0	0	0	0.437	0.0	0.0	0.243
9606.ENSP00000215794	9606.ENSP00000326247	USP18	SAMD9L	9606	0.603	0.0	0	0	0.308	0.0	0.0	0.45
9606.ENSP00000215794	9606.ENSP00000254436	USP18	TRIM21	9606	0.65	0.0	0	0	0.511	0.056	0.0	0.303
9606.ENSP00000215794	9606.ENSP00000379412	USP18	ZNFX1	9606	0.656	0.0	0	0	0.547	0.146	0.0	0.182
9606.ENSP00000215794	9606.ENSP00000418194	USP18	PARP14	9606	0.661	0.0	0	0	0.479	0.0	0.0	0.375
9606.ENSP00000215794	9606.ENSP00000369292	USP18	SAMD9	9606	0.662	0.0	0	0	0.302	0.0	0.0	0.535
9606.ENSP00000215794	9606.ENSP00000252593	USP18	BST2	9606	0.672	0.0	0	0	0.397	0.0	0.0	0.479
9606.ENSP00000215794	9606.ENSP00000354822	USP18	XAF1	9606	0.676	0.0	0	0	0.505	0.0	0.0	0.372
9606.ENSP00000215794	9606.ENSP00000263549	USP18	PARP12	9606	0.682	0.0	0	0	0.608	0.0	0.0	0.223
9606.ENSP00000215794	9606.ENSP00000414922	USP18	USP41	9606	0.701	0.0	0	0	0.088	0.684	0.0	0.46
9606.ENSP00000215794	9606.ENSP00000464087	USP18	RNF213	9606	0.703	0.0	0	0	0.545	0.0	0.0	0.375
9606.ENSP00000215794	9606.ENSP00000377344	USP18	DDX60	9606	0.728	0.0	0	0	0.49	0.074	0.0	0.47
9606.ENSP00000215794	9606.ENSP00000256722	USP18	CMPK2	9606	0.736	0.0	0	0	0.522	0.0	0.0	0.47
9606.ENSP00000215794	9606.ENSP00000395590	USP18	IFI35	9606	0.759	0.0	0	0	0.601	0.0	0.0	0.421
9606.ENSP00000215794	9606.ENSP00000353512	USP18	PARP9	9606	0.781	0.0	0	0	0.672	0.0	0.0	0.36
9606.ENSP00000215794	9606.ENSP00000380073	USP18	IRF9	9606	0.812	0.0	0	0	0.515	0.0	0.0	0.629
9606.ENSP00000215794	9606.ENSP00000342513	USP18	IFI6	9606	0.813	0.0	0	0	0.588	0.0	0.0	0.565
9606.ENSP00000215794	9606.ENSP00000360891	USP18	IFIT2	9606	0.814	0.0	0	0	0.498	0.126	0.0	0.61
9606.ENSP00000215794	9606.ENSP00000287156	USP18	UBE2L6	9606	0.847	0.0	0	0	0.439	0.102	0.0	0.722
9606.ENSP00000215794	9606.ENSP00000259030	USP18	RTP4	9606	0.852	0.0	0	0	0.656	0.0	0.0	0.587
9606.ENSP00000215794	9606.ENSP00000251642	USP18	DHX58	9606	0.865	0.0	0	0	0.745	0.0	0.0	0.492
9606.ENSP00000215794	9606.ENSP00000388001	USP18	OAS1	9606	0.873	0.0	0	0	0.69	0.0	0.0	0.607
9606.ENSP00000215794	9606.ENSP00000228928	USP18	OAS3	9606	0.875	0.0	0	0	0.746	0.0	0.0	0.529
9606.ENSP00000215794	9606.ENSP00000333266	USP18	UBA7	9606	0.877	0.0	0	0	0.547	0.0	0.0	0.74
9606.ENSP00000215794	9606.ENSP00000264346	USP18	HERC6	9606	0.878	0.0	0	0	0.642	0.159	0.0	0.628
9606.ENSP00000215794	9606.ENSP00000359783	USP18	IFI44	9606	0.881	0.0	0	0	0.665	0.0	0.0	0.658
9606.ENSP00000215794	9606.ENSP00000359787	USP18	IFI44L	9606	0.882	0.0	0	0	0.711	0.0	0.0	0.608
9606.ENSP00000215794	9606.ENSP00000342278	USP18	OAS2	9606	0.888	0.0	0	0	0.752	0.0	0.0	0.566
9606.ENSP00000215794	9606.ENSP00000263642	USP18	IFIH1	9606	0.89	0.0	0	0	0.739	0.0	0.0	0.595
9606.ENSP00000215794	9606.ENSP00000264350	USP18	HERC5	9606	0.912	0.0	0	0	0.632	0.159	0.0	0.741
9606.ENSP00000215794	9606.ENSP00000257570	USP18	OASL	9606	0.915	0.0	0	0	0.779	0.172	0.0	0.575
9606.ENSP00000215794	9606.ENSP00000380697	USP18	IRF7	9606	0.917	0.0	0	0	0.746	0.0	0.0	0.687
9606.ENSP00000215794	9606.ENSP00000315768	USP18	STAT2	9606	0.934	0.0	0	0	0.274	0.486	0.0	0.837
9606.ENSP00000215794	9606.ENSP00000360883	USP18	IFIT3	9606	0.941	0.0	0	0	0.798	0.126	0.0	0.695
9606.ENSP00000215794	9606.ENSP00000371471	USP18	RSAD2	9606	0.964	0.0	0	0	0.881	0.0	0.0	0.715
9606.ENSP00000215794	9606.ENSP00000233057	USP18	EIF2AK2	9606	0.967	0.0	0	0	0.412	0.0	0.9	0.484
9606.ENSP00000215794	9606.ENSP00000354394	USP18	STAT1	9606	0.983	0.0	0	0	0.534	0.0	0.9	0.672
9606.ENSP00000215794	9606.ENSP00000333657	USP18	MX2	9606	0.985	0.0	0	0	0.641	0.115	0.9	0.606
9606.ENSP00000215794	9606.ENSP00000369213	USP18	DDX58	9606	0.989	0.0	0	0	0.732	0.0	0.9	0.626
9606.ENSP00000215794	9606.ENSP00000381601	USP18	MX1	9606	0.994	0.0	0	0	0.811	0.115	0.9	0.703
9606.ENSP00000215794	9606.ENSP00000360869	USP18	IFIT1	9606	0.995	0.0	0	0	0.851	0.126	0.9	0.72
9606.ENSP00000215794	9606.ENSP00000368699	USP18	ISG15	9606	0.999	0.0	0	0	0.829	0.898	0.9	0.964
9606.ENSP00000217246	9606.ENSP00000357297	MACROD2	RNF146	9606	0.401	0.0	0	0	0.083	0.0	0.0	0.374
9606.ENSP00000217246	9606.ENSP00000371419	MACROD2	PARP4	9606	0.451	0.0	0	0	0.0	0.0	0.0	0.451
9606.ENSP00000217246	9606.ENSP00000307004	MACROD2	APLF	9606	0.471	0.0	0	0	0.0	0.0	0.0	0.471
9606.ENSP00000217246	9606.ENSP00000250416	MACROD2	PARP2	9606	0.483	0.0	0	0	0.0	0.0	0.0	0.483
9606.ENSP00000217246	9606.ENSP00000263549	MACROD2	PARP12	9606	0.487	0.0	0	0	0.079	0.0	0.0	0.466
9606.ENSP00000217246	9606.ENSP00000355759	MACROD2	PARP1	9606	0.53	0.0	0	0	0.0	0.0	0.0	0.53
9606.ENSP00000217246	9606.ENSP00000281631	MACROD2	PARP8	9606	0.543	0.0	0	0	0.0	0.0	0.0	0.543
9606.ENSP00000217246	9606.ENSP00000456348	MACROD2	PARP6	9606	0.569	0.0	0	0	0.062	0.0	0.0	0.559
9606.ENSP00000217246	9606.ENSP00000381740	MACROD2	PARP3	9606	0.647	0.0	0	0	0.0	0.0	0.0	0.647
9606.ENSP00000217246	9606.ENSP00000261888	MACROD2	PARP16	9606	0.658	0.0	0	0	0.0	0.0	0.0	0.658
9606.ENSP00000217246	9606.ENSP00000384408	MACROD2	PARG	9606	0.708	0.0	0	0	0.0	0.0	0.0	0.708
9606.ENSP00000217246	9606.ENSP00000325618	MACROD2	PARP10	9606	0.75	0.0	0	0	0.064	0.27	0.0	0.663
9606.ENSP00000217246	9606.ENSP00000420484	MACROD2	OARD1	9606	0.812	0.0	0	0	0.0	0.0	0.0	0.812
9606.ENSP00000217246	9606.ENSP00000362273	MACROD2	ADPRHL2	9606	0.916	0.111	0	0	0.0	0.0	0.0	0.909
9606.ENSP00000228928	9606.ENSP00000367570	OAS3	PHF11	9606	0.416	0.0	0	0	0.122	0.0	0.0	0.362
9606.ENSP00000228928	9606.ENSP00000464087	OAS3	RNF213	9606	0.438	0.0	0	0	0.225	0.0	0.0	0.305
9606.ENSP00000228928	9606.ENSP00000256722	OAS3	CMPK2	9606	0.488	0.0	0	0	0.272	0.0	0.0	0.325
9606.ENSP00000228928	9606.ENSP00000369299	OAS3	TRIM22	9606	0.508	0.0	0	0	0.225	0.0	0.0	0.391
9606.ENSP00000228928	9606.ENSP00000369292	OAS3	SAMD9	9606	0.529	0.0	0	0	0.302	0.0	0.0	0.352
9606.ENSP00000228928	9606.ENSP00000417401	OAS3	HELZ2	9606	0.597	0.0	0	0	0.151	0.354	0.0	0.324
9606.ENSP00000228928	9606.ENSP00000418194	OAS3	PARP14	9606	0.606	0.0	0	0	0.21	0.331	0.0	0.314
9606.ENSP00000228928	9606.ENSP00000258381	OAS3	SP110	9606	0.637	0.0	0	0	0.561	0.154	0.0	0.101
9606.ENSP00000228928	9606.ENSP00000353512	OAS3	PARP9	9606	0.642	0.0	0	0	0.209	0.336	0.0	0.372
9606.ENSP00000228928	9606.ENSP00000251642	OAS3	DHX58	9606	0.703	0.0	0	0	0.535	0.0	0.0	0.387
9606.ENSP00000228928	9606.ENSP00000287156	OAS3	UBE2L6	9606	0.724	0.0	0	0	0.546	0.0	0.0	0.417
9606.ENSP00000228928	9606.ENSP00000259030	OAS3	RTP4	9606	0.734	0.0	0	0	0.572	0.0	0.0	0.405
9606.ENSP00000228928	9606.ENSP00000326247	OAS3	SAMD9L	9606	0.739	0.0	0	0	0.659	0.0	0.0	0.266
9606.ENSP00000228928	9606.ENSP00000263549	OAS3	PARP12	9606	0.75	0.0	0	0	0.681	0.0	0.0	0.247
9606.ENSP00000228928	9606.ENSP00000257570	OAS3	OASL	9606	0.819	0.0	0	0	0.79	0.0	0.0	0.774
9606.ENSP00000228928	9606.ENSP00000369213	OAS3	DDX58	9606	0.865	0.0	0	0	0.686	0.0	0.0	0.586
9606.ENSP00000228928	9606.ENSP00000263642	OAS3	IFIH1	9606	0.867	0.0	0	0	0.685	0.0	0.0	0.597
9606.ENSP00000228928	9606.ENSP00000264346	OAS3	HERC6	9606	0.886	0.0	0	0	0.774	0.0	0.0	0.516
9606.ENSP00000228928	9606.ENSP00000377344	OAS3	DDX60	9606	0.887	0.0	0	0	0.775	0.0	0.0	0.52
9606.ENSP00000228928	9606.ENSP00000264350	OAS3	HERC5	9606	0.887	0.0	0	0	0.751	0.0	0.0	0.567
9606.ENSP00000228928	9606.ENSP00000233057	OAS3	EIF2AK2	9606	0.888	0.0	0	0	0.678	0.325	0.0	0.529
9606.ENSP00000228928	9606.ENSP00000359783	OAS3	IFI44	9606	0.928	0.0	0	0	0.786	0.0	0.0	0.681
9606.ENSP00000228928	9606.ENSP00000359787	OAS3	IFI44L	9606	0.929	0.0	0	0	0.787	0.0	0.0	0.68
9606.ENSP00000228928	9606.ENSP00000252593	OAS3	BST2	9606	0.952	0.0	0	0	0.234	0.0	0.9	0.433
9606.ENSP00000228928	9606.ENSP00000342278	OAS3	OAS2	9606	0.957	0.0	0	0	0.78	0.0	0.8	0.95
9606.ENSP00000228928	9606.ENSP00000315768	OAS3	STAT2	9606	0.96	0.0	0	0	0.174	0.0	0.9	0.556
9606.ENSP00000228928	9606.ENSP00000388001	OAS3	OAS1	9606	0.963	0.0	0	0	0.811	0.0	0.8	0.9
9606.ENSP00000228928	9606.ENSP00000380073	OAS3	IRF9	9606	0.967	0.0	0	0	0.338	0.0	0.9	0.553
9606.ENSP00000228928	9606.ENSP00000354822	OAS3	XAF1	9606	0.985	0.0	0	0	0.746	0.0	0.9	0.459
9606.ENSP00000228928	9606.ENSP00000380697	OAS3	IRF7	9606	0.985	0.0	0	0	0.634	0.0	0.9	0.635
9606.ENSP00000228928	9606.ENSP00000333657	OAS3	MX2	9606	0.988	0.0	0	0	0.674	0.0	0.9	0.673
9606.ENSP00000228928	9606.ENSP00000395590	OAS3	IFI35	9606	0.988	0.0	0	0	0.765	0.0	0.9	0.562
9606.ENSP00000228928	9606.ENSP00000354394	OAS3	STAT1	9606	0.988	0.0	0	0	0.673	0.0	0.9	0.676
9606.ENSP00000228928	9606.ENSP00000360891	OAS3	IFIT2	9606	0.989	0.0	0	0	0.564	0.327	0.9	0.698
