stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000220592	9606.ENSP00000369213	AGO2	DDX58	9606	0.44	0.0	0	0.0	0.054	0.09	0.0	0.402
9606.ENSP00000220592	9606.ENSP00000293831	AGO2	EIF4A1	9606	0.45	0.0	0	0.0	0.062	0.132	0.0	0.379
9606.ENSP00000220592	9606.ENSP00000478303	AGO2	POLR2E	9606	0.61	0.0	0	0.0	0.0	0.0	0.6	0.067
9606.ENSP00000220592	9606.ENSP00000380033	AGO2	DDX17	9606	0.616	0.0	0	0.0	0.062	0.243	0.0	0.503
9606.ENSP00000220592	9606.ENSP00000242351	AGO2	ZC3HAV1	9606	0.686	0.0	0	0.0	0.0	0.41	0.0	0.49
9606.ENSP00000220592	9606.ENSP00000387911	AGO2	PARN	9606	0.735	0.0	0	0.0	0.167	0.184	0.0	0.641
9606.ENSP00000220592	9606.ENSP00000355094	AGO2	QKI	9606	0.767	0.0	0	0.0	0.064	0.246	0.0	0.696
9606.ENSP00000220592	9606.ENSP00000377681	AGO2	G3BP1	9606	0.852	0.0	0	0.0	0.11	0.735	0.0	0.424
9606.ENSP00000220592	9606.ENSP00000361626	AGO2	YBX1	9606	0.859	0.0	0	0.0	0.062	0.687	0.0	0.559
9606.ENSP00000220592	9606.ENSP00000478982	AGO2	RPP38	9606	0.903	0.0	0	0.0	0.0	0.077	0.9	0.0
9606.ENSP00000220592	9606.ENSP00000296930	AGO2	NPM1	9606	0.967	0.0	0	0.0	0.0	0.282	0.0	0.956
9606.ENSP00000220592	9606.ENSP00000399797	AGO2	MOV10	9606	0.99	0.0	0	0.0	0.063	0.376	0.5	0.971
9606.ENSP00000220592	9606.ENSP00000350170	AGO2	FXR1	9606	0.996	0.0	0	0.0	0.062	0.611	0.0	0.991
9606.ENSP00000221233	9606.ENSP00000478303	EXOSC5	POLR2E	9606	0.431	0.0	0	0.0	0.431	0.0	0.0	0.0
9606.ENSP00000221233	9606.ENSP00000380033	EXOSC5	DDX17	9606	0.48	0.0	0	0.0	0.15	0.282	0.0	0.215
9606.ENSP00000221233	9606.ENSP00000300413	EXOSC5	SNRPD1	9606	0.496	0.0	0	0.0	0.398	0.127	0.0	0.118
9606.ENSP00000221233	9606.ENSP00000400591	EXOSC5	SNRPE	9606	0.516	0.0	0	0.0	0.463	0.127	0.0	0.052
9606.ENSP00000221233	9606.ENSP00000419665	EXOSC5	SSBP1	9606	0.561	0.0	0	0.0	0.561	0.0	0.0	0.0
9606.ENSP00000221233	9606.ENSP00000478982	EXOSC5	RPP38	9606	0.613	0.0	0	0.0	0.268	0.384	0.0	0.211
9606.ENSP00000221233	9606.ENSP00000338862	EXOSC5	BRIX1	9606	0.653	0.0	0	0.0	0.638	0.057	0.0	0.065
9606.ENSP00000221233	9606.ENSP00000387911	EXOSC5	PARN	9606	0.82	0.0	0	0.0	0.085	0.0	0.6	0.548
9606.ENSP00000221233	9606.ENSP00000274606	EXOSC5	NHP2	9606	0.854	0.0	0	0.0	0.807	0.159	0.0	0.171
9606.ENSP00000221233	9606.ENSP00000242351	EXOSC5	ZC3HAV1	9606	0.963	0.0	0	0.0	0.045	0.334	0.0	0.947
9606.ENSP00000221233	9606.ENSP00000370589	EXOSC5	NOP56	9606	0.972	0.0	0	0.0	0.336	0.559	0.9	0.159
9606.ENSP00000221233	9606.ENSP00000383949	EXOSC5	NHP2L1	9606	0.974	0.0	0	0.0	0.405	0.559	0.9	0.158
9606.ENSP00000238256	9606.ENSP00000383949	FKBP15	NHP2L1	9606	0.7	0.0	0	0.0	0.653	0.173	0.0	0.0
9606.ENSP00000238256	9606.ENSP00000478982	FKBP15	RPP38	9606	0.702	0.0	0	0.0	0.655	0.173	0.0	0.0
9606.ENSP00000238256	9606.ENSP00000381032	FKBP15	NPM2	9606	0.715	0.0	0	0.0	0.65	0.056	0.0	0.207
9606.ENSP00000238256	9606.ENSP00000370376	FKBP15	DUT	9606	0.769	0.0	0	0.0	0.755	0.078	0.0	0.061
9606.ENSP00000238256	9606.ENSP00000359128	FKBP15	NPM3	9606	0.861	0.0	0	0.0	0.818	0.056	0.0	0.258
9606.ENSP00000238256	9606.ENSP00000274606	FKBP15	NHP2	9606	0.875	0.0	0	0.0	0.866	0.104	0.0	0.043
9606.ENSP00000238256	9606.ENSP00000338862	FKBP15	BRIX1	9606	0.886	0.0	0	0.0	0.855	0.251	0.0	0.0
9606.ENSP00000238256	9606.ENSP00000370589	FKBP15	NOP56	9606	0.889	0.0	0	0.0	0.869	0.183	0.0	0.051
9606.ENSP00000242351	9606.ENSP00000338862	ZC3HAV1	BRIX1	9606	0.41	0.0	0	0.0	0.0	0.411	0.0	0.0
9606.ENSP00000242351	9606.ENSP00000266604	ZC3HAV1	LLPH	9606	0.495	0.0	0	0.0	0.0	0.496	0.0	0.0
9606.ENSP00000242351	9606.ENSP00000456348	ZC3HAV1	PARP6	9606	0.652	0.0	0	0.0	0.062	0.0	0.0	0.644
9606.ENSP00000242351	9606.ENSP00000340507	ZC3HAV1	TRIM24	9606	0.656	0.0	0	0.0	0.049	0.0	0.6	0.17
9606.ENSP00000242351	9606.ENSP00000255194	ZC3HAV1	AP3B1	9606	0.658	0.0	0	0.0	0.0	0.0	0.6	0.18
9606.ENSP00000242351	9606.ENSP00000250416	ZC3HAV1	PARP2	9606	0.66	0.0	0	0.0	0.0	0.0	0.0	0.66
9606.ENSP00000242351	9606.ENSP00000411397	ZC3HAV1	MARK3	9606	0.662	0.0	0	0.0	0.104	0.0	0.6	0.134
9606.ENSP00000242351	9606.ENSP00000355094	ZC3HAV1	QKI	9606	0.666	0.0	0	0.0	0.196	0.0	0.6	0.047
9606.ENSP00000242351	9606.ENSP00000377681	ZC3HAV1	G3BP1	9606	0.679	0.0	0	0.0	0.072	0.479	0.0	0.39
9606.ENSP00000242351	9606.ENSP00000350170	ZC3HAV1	FXR1	9606	0.682	0.0	0	0.0	0.047	0.131	0.6	0.155
9606.ENSP00000242351	9606.ENSP00000261888	ZC3HAV1	PARP16	9606	0.684	0.0	0	0.0	0.0	0.0	0.0	0.684
9606.ENSP00000242351	9606.ENSP00000399797	ZC3HAV1	MOV10	9606	0.69	0.0	0	0.0	0.094	0.296	0.0	0.554
9606.ENSP00000242351	9606.ENSP00000387911	ZC3HAV1	PARN	9606	0.693	0.0	0	0.0	0.082	0.27	0.0	0.579
9606.ENSP00000242351	9606.ENSP00000381740	ZC3HAV1	PARP3	9606	0.693	0.0	0	0.0	0.062	0.0	0.0	0.686
9606.ENSP00000242351	9606.ENSP00000341597	ZC3HAV1	FAM114A2	9606	0.699	0.0	0	0.0	0.0	0.0	0.6	0.279
9606.ENSP00000242351	9606.ENSP00000361626	ZC3HAV1	YBX1	9606	0.699	0.0	0	0.0	0.075	0.688	0.0	0.0
9606.ENSP00000242351	9606.ENSP00000293831	ZC3HAV1	EIF4A1	9606	0.725	0.0	0	0.0	0.048	0.27	0.0	0.637
9606.ENSP00000242351	9606.ENSP00000380033	ZC3HAV1	DDX17	9606	0.765	0.0	0	0.0	0.068	0.0	0.0	0.758
9606.ENSP00000242351	9606.ENSP00000251343	ZC3HAV1	KHNYN	9606	0.803	0.0	0	0.0	0.062	0.595	0.0	0.524
9606.ENSP00000242351	9606.ENSP00000339740	ZC3HAV1	CAMK2D	9606	0.9	0.0	0	0.0	0.0	0.0	0.9	0.0
9606.ENSP00000242351	9606.ENSP00000381412	ZC3HAV1	CAMK2A	9606	0.9	0.0	0	0.0	0.0	0.0	0.9	0.0
9606.ENSP00000242351	9606.ENSP00000379098	ZC3HAV1	CAMK2B	9606	0.9	0.0	0	0.0	0.0	0.0	0.9	0.0
9606.ENSP00000242351	9606.ENSP00000290277	ZC3HAV1	ARAF	9606	0.901	0.0	0	0.0	0.055	0.0	0.9	0.0
9606.ENSP00000242351	9606.ENSP00000319060	ZC3HAV1	CAMK2G	9606	0.902	0.0	0	0.0	0.063	0.0	0.9	0.0
9606.ENSP00000242351	9606.ENSP00000371067	ZC3HAV1	JAK2	9606	0.904	0.0	0	0.0	0.0	0.0	0.9	0.081
9606.ENSP00000242351	9606.ENSP00000251849	ZC3HAV1	RAF1	9606	0.914	0.0	0	0.0	0.183	0.0	0.9	0.0
9606.ENSP00000242351	9606.ENSP00000323889	ZC3HAV1	TRIM25	9606	0.936	0.0	0	0.0	0.119	0.622	0.0	0.825
9606.ENSP00000242351	9606.ENSP00000369213	ZC3HAV1	DDX58	9606	0.983	0.0	0	0.0	0.201	0.417	0.0	0.966
9606.ENSP00000250416	9606.ENSP00000361626	PARP2	YBX1	9606	0.456	0.0	0	0.0	0.062	0.0	0.0	0.444
9606.ENSP00000250416	9606.ENSP00000261888	PARP2	PARP16	9606	0.668	0.0	0	0.0	0.0	0.0	0.0	0.668
9606.ENSP00000250416	9606.ENSP00000456348	PARP2	PARP6	9606	0.75	0.0	0	0.0	0.0	0.0	0.0	0.75
9606.ENSP00000250416	9606.ENSP00000296930	PARP2	NPM1	9606	0.806	0.0	0	0.0	0.1	0.182	0.0	0.758
9606.ENSP00000250495	9606.ENSP00000383949	NEDD8	NHP2L1	9606	0.456	0.0	0	0.0	0.289	0.237	0.0	0.077
9606.ENSP00000250495	9606.ENSP00000274606	NEDD8	NHP2	9606	0.462	0.0	0	0.0	0.309	0.237	0.0	0.062
9606.ENSP00000250495	9606.ENSP00000381032	NEDD8	NPM2	9606	0.652	0.0	0	0.0	0.652	0.0	0.0	0.0
9606.ENSP00000250495	9606.ENSP00000447942	NEDD8	PFDN5	9606	0.86	0.0	0	0.0	0.854	0.0	0.0	0.081
9606.ENSP00000250495	9606.ENSP00000400591	NEDD8	SNRPE	9606	0.897	0.0	0	0.0	0.895	0.066	0.0	0.0
9606.ENSP00000250495	9606.ENSP00000251343	NEDD8	KHNYN	9606	0.977	0.0	0	0.0	0.063	0.967	0.0	0.325
