stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000219255	9606.ENSP00000383118	PARD6A	CDC42	9606	0.999	0	0	0	0.062	0.967	0.9	0.986
9606.ENSP00000219255	9606.ENSP00000383118	PARD6A	CDC42	9606	0.999	0	0	0	0.062	0.967	0.9	0.986
9606.ENSP00000223023	9606.ENSP00000383118	WASL	CDC42	9606	0.999	0	0	0	0.064	0.971	0.9	0.994
9606.ENSP00000223023	9606.ENSP00000383118	WASL	CDC42	9606	0.999	0	0	0	0.064	0.971	0.9	0.994
9606.ENSP00000251496	9606.ENSP00000256442	NCAPG	CCNB1	9606	0.994	0	0	0	0.868	0	0.9	0.621
9606.ENSP00000251496	9606.ENSP00000256442	NCAPG	CCNB1	9606	0.994	0	0	0	0.868	0	0.9	0.621
9606.ENSP00000251496	9606.ENSP00000378699	NCAPG	CDK1	9606	0.999	0	0	0	0.992	0.281	0.9	0.538
9606.ENSP00000251496	9606.ENSP00000378699	NCAPG	CDK1	9606	0.999	0	0	0	0.992	0.281	0.9	0.538
9606.ENSP00000255465	9606.ENSP00000256442	CCNA1	CCNB1	9606	0.968	0	0	0	0.551	0.181	0.9	0.812
9606.ENSP00000255465	9606.ENSP00000256442	CCNA1	CCNB1	9606	0.968	0	0	0	0.551	0.181	0.9	0.812
9606.ENSP00000255465	9606.ENSP00000378699	CCNA1	CDK1	9606	0.999	0	0.004	0	0.764	0.867	0.9	0.989
9606.ENSP00000255465	9606.ENSP00000378699	CCNA1	CDK1	9606	0.999	0	0.004	0	0.764	0.867	0.9	0.989
9606.ENSP00000256442	9606.ENSP00000383118	CCNB1	CDC42	9606	0.446	0	0	0	0.049	0.145	0	0.374
9606.ENSP00000256442	9606.ENSP00000383118	CCNB1	CDC42	9606	0.446	0	0	0	0.049	0.145	0	0.374
9606.ENSP00000256442	9606.ENSP00000378699	CCNB1	CDK1	9606	0.999	0	0	0	0.968	0.999	0.9	0.995
9606.ENSP00000256442	9606.ENSP00000378699	CCNB1	CDK1	9606	0.999	0	0	0	0.968	0.999	0.9	0.995
9606.ENSP00000378699	9606.ENSP00000383118	CDK1	CDC42	9606	0.564	0	0	0	0.062	0.102	0	0.524
9606.ENSP00000378699	9606.ENSP00000383118	CDK1	CDC42	9606	0.564	0	0	0	0.062	0.102	0	0.524
