stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000008938	9606.ENSP00000255040	PGLYRP1	APCS	9606	0.582	0.0	0.0	0.0	0.0	0.0	0.0	0.582
9606.ENSP00000078445	9606.ENSP00000255030	CREB3L3	CRP	9606	0.425	0.0	0.0	0.0	0.09	0.0	0.0	0.393
9606.ENSP00000078445	9606.ENSP00000255040	CREB3L3	APCS	9606	0.573	0.0	0.0	0.0	0.126	0.0	0.0	0.532
9606.ENSP00000078445	9606.ENSP00000350425	CREB3L3	APOA4	9606	0.969	0.0	0.0	0.0	0.457	0.0	0.9	0.478
9606.ENSP00000205948	9606.ENSP00000226355	APOH	AFM	9606	0.425	0.0	0.0	0.0	0.184	0.0	0.0	0.325
9606.ENSP00000205948	9606.ENSP00000263408	APOH	C9	9606	0.438	0.0	0.0	0.0	0.134	0.0	0.0	0.378
9606.ENSP00000205948	9606.ENSP00000263100	APOH	A1BG	9606	0.472	0.0	0.0	0.0	0.064	0.0	0.0	0.46
9606.ENSP00000205948	9606.ENSP00000346839	APOH	FN1	9606	0.474	0.0	0.0	0.0	0.065	0.0	0.0	0.46
9606.ENSP00000205948	9606.ENSP00000226218	APOH	VTN	9606	0.484	0.0	0.0	0.0	0.224	0.0	0.0	0.363
9606.ENSP00000205948	9606.ENSP00000363079	APOH	MBL2	9606	0.547	0.0	0.0	0.0	0.356	0.0	0.0	0.325
9606.ENSP00000205948	9606.ENSP00000415941	APOH	C4B	9606	0.552	0.0	0.0	0.0	0.11	0.0	0.0	0.517
9606.ENSP00000205948	9606.ENSP00000255040	APOH	APCS	9606	0.554	0.0	0.0	0.0	0.179	0.0	0.0	0.479
9606.ENSP00000205948	9606.ENSP00000265983	APOH	HPX	9606	0.61	0.0	0.0	0.0	0.203	0.0	0.0	0.531
9606.ENSP00000205948	9606.ENSP00000255030	APOH	CRP	9606	0.616	0.0	0.0	0.0	0.13	0.0	0.0	0.576
9606.ENSP00000205948	9606.ENSP00000266041	APOH	ITIH4	9606	0.656	0.0	0.0	0.0	0.167	0.0	0.3	0.457
9606.ENSP00000205948	9606.ENSP00000237014	APOH	TTR	9606	0.659	0.0	0.0	0.0	0.321	0.0	0.0	0.518
9606.ENSP00000205948	9606.ENSP00000245907	APOH	C3	9606	0.662	0.0	0.0	0.0	0.111	0.0	0.0	0.635
9606.ENSP00000205948	9606.ENSP00000232003	APOH	HRG	9606	0.67	0.0	0.0	0.0	0.473	0.0	0.0	0.4
9606.ENSP00000205948	9606.ENSP00000384906	APOH	SAA1	9606	0.69	0.0	0.0	0.0	0.062	0.0	0.54	0.341
9606.ENSP00000205948	9606.ENSP00000278222	APOH	SAA4	9606	0.729	0.0	0.0	0.0	0.233	0.0	0.54	0.294
9606.ENSP00000205948	9606.ENSP00000416066	APOH	SERPINA1	9606	0.749	0.0	0.0	0.0	0.297	0.261	0.0	0.556
9606.ENSP00000205948	9606.ENSP00000259396	APOH	ORM1	9606	0.751	0.0	0.0	0.0	0.565	0.0	0.0	0.452
9606.ENSP00000205948	9606.ENSP00000284981	APOH	APP	9606	0.755	0.0	0.0	0.0	0.0	0.056	0.72	0.15
9606.ENSP00000205948	9606.ENSP00000394936	APOH	ORM2	9606	0.784	0.0	0.0	0.0	0.619	0.0	0.0	0.458
9606.ENSP00000205948	9606.ENSP00000421725	APOH	GC	9606	0.826	0.0	0.0	0.0	0.611	0.0	0.0	0.571
9606.ENSP00000205948	9606.ENSP00000306361	APOH	FGA	9606	0.86	0.0	0.0	0.0	0.668	0.158	0.0	0.539
9606.ENSP00000205948	9606.ENSP00000315130	APOH	CLU	9606	0.864	0.0	0.0	0.0	0.062	0.0	0.72	0.527
9606.ENSP00000205948	9606.ENSP00000306099	APOH	FGB	9606	0.87	0.0	0.0	0.0	0.707	0.158	0.0	0.518
9606.ENSP00000205948	9606.ENSP00000295897	APOH	ALB	9606	0.898	0.0	0.0	0.0	0.797	0.0	0.0	0.52
9606.ENSP00000205948	9606.ENSP00000350425	APOH	APOA4	9606	0.904	0.0	0.0	0.0	0.133	0.099	0.72	0.615
9606.ENSP00000205948	9606.ENSP00000348170	APOH	HP	9606	0.909	0.0	0.0	0.0	0.212	0.0	0.72	0.623
9606.ENSP00000205948	9606.ENSP00000252486	APOH	APOE	9606	0.923	0.0	0.0	0.0	0.062	0.369	0.72	0.595
9606.ENSP00000205948	9606.ENSP00000236850	APOH	APOA1	9606	0.989	0.0	0.0	0.0	0.845	0.386	0.72	0.663
9606.ENSP00000226218	9606.ENSP00000226355	VTN	AFM	9606	0.416	0.0	0.0	0.0	0.13	0.141	0.0	0.282
9606.ENSP00000226218	9606.ENSP00000284981	VTN	APP	9606	0.418	0.0	0.0	0.0	0.062	0.27	0.0	0.218
9606.ENSP00000226218	9606.ENSP00000348170	VTN	HP	9606	0.436	0.0	0.0	0.0	0.1	0.0	0.0	0.4
9606.ENSP00000226218	9606.ENSP00000356037	VTN	C4BPA	9606	0.436	0.0	0.0	0.0	0.098	0.0	0.0	0.4
9606.ENSP00000226218	9606.ENSP00000350425	VTN	APOA4	9606	0.447	0.0	0.0	0.0	0.131	0.0	0.0	0.39
